1,гум рихьыныр,minsaamheid,‫المودة‬,каханне ,привързаност,স্নেহ ,naklonost,l`afecte,náklonnost,kærligheden ,die Zuneigung,η αγάπη ,affection,affection,el afecto,kiindumus,‫محبت‬,tunteet,l`affection,חיבה ,स्नेह ,naklonost,vonzalom,kasih sayang,l`affetto,愛情 ,სითბო ვინმეს მიმართ ,애정 ,meilumas,simpātijas ,приврзаност ,आपुलकी ,de liefde,hengivenhet,ਸਨੇਹ ,uczucie,o carinho,o afeto,afecțiune,симпатия,náklonnosť ,naklonjenost,Dashuria,наклоност,kärlek,அன்பு,అభిమానం ,เสน่หา,sevgi,симпатія,‫جھکاؤ‬ ,cảm tình (thiện cảm) ,喜爱
2,лъэшэу губжыныгъ,woede,‫الغضب‬,гнеў ,гняв,রাগ ,ljutnja,la ira,potíž,vreden,der Ärger,ο θυμός ,anger,anger,la ira,viha,‫خشم‬,viha,la colère,כעס ,क्रोध ,ljutnja,harag,kemarahan,la rabbia,怒り ,ბრაზი ,분노 ,pyktis,dusmas,гнев ,संताप ,de woede,sinne,ਕ੍ਰੋਧ ,złość,a ira,a raiva,furie,гнев,zlosť ,jeza,Zemërimi ,љутња,ilska,கோபம்,కోపము ,ความโกรธ,öfke ,гнів,‫غصہ‬ ,cơn giận dữ ,愤怒
3,зэщыныгъ,verveling,‫الملل‬,нуды ,скука,একঘেয়েমি ,dosada,l`avorriment,nuda,kedsomheden,die Langeweile,η πλήξη ,boredom,boredom,el aburrimiento,igavus,‫خستگی‬,ikävystyminen ,l`ennui,שעמום ,उदासी ,dosada,unalom,kebosanan,la noia,退屈 ,მოწყენილობა ,지루함 ,nuobodulys,garlaicība ,досада ,कंटाळवाणेपणा ,de verveling,kjedsomhet,ਉਦਾਸੀ ,nuda,o tédio,o tédio ,plictiseală,скука,nuda,dolgčas ,Mërzia ,досада,tristess,சலிப்பு,విసుగు ,เบื่อ,can sıkıntısı ,нудьга,‫بوریت‬ ,nỗi buồn chán ,无聊
4,цыхьэ,vertroue,‫الثقة‬,давер ,доверие,আস্থা ,povjerenje,la confiança ,důvěra,selvtilliden,das Vertrauen,η εμπιστοσύνη ,confidence,confidence,la confianza,usaldus,‫اعتماد به نفس‬,luottamus,la confiance,ביטחון ,आत्मविश्वास ,povjerenje,bizalom,keyakinan,la fiducia,自信 ,თავდაჯერებულობა ,자신감 ,pasitikėjimas ,ticamības ,доверба ,आत्मविश्वास ,het vertrouwen,tillit,ਆਤਮਵਿਸ਼ਵਾਸ ,zaufanie,a confiança,a confiança ,încredere,доверие,dôvera ,zaupanje,Vetbesimi,поверење,förtroende,நம்பிக்கை,విశ్వాసము ,ความเชื่อมั่น,güven ,довіра,‫اعتماد‬ ,sự tin cẩn (tín nhiệm/ tự tin) ,信任
5,ямышIыкIэныгъ,kreatiwiteit,‫الإبداع‬,творчасць ,креативност,সৃজনশীলতা ,kreativnost,la creativitat,tvořivost,kreativiteten,die Kreativität,η δημιουργικότητα ,creativity,creativity,la creatividad,loovus,‫خلاقیت‬,luovuus,la créativité,יצירתיות ,रचनात्मकता ,kreativnost,kreativitás,kreativitas,la creatività,創造性 ,შემოქმედებითობა ,창의성 ,kūrybiškumas ,radošums ,креативност ,सर्जनशीलता ,de creativiteit,kreativitet,ਰਚਨਾਤਮਕਤਾ ,kreatywność,a criatividade,a criatividade,creativitate,креативность,tvorivosť ,ustvarjalnost,Kreativiteti,креативност,kreativitet,படைப்பாற்றல்,సృజనాత్మకత ,ความคิดสร้างสรรค์,yaratıcılık ,креативність,‫تخلیق‬ ,sự sáng tạo (tính sáng tạo) ,创造力
6,кризис,krisis,‫الأزمة‬,крызіс ,криза,সঙ্কট ,kriza,la crisi,krize,krisen,die Krise,η κρίση ,crisis,crisis,la crisis,kriis,‫بحران‬,kriisi,la crise,משבר ,संकट ,kriza,válság,krisis,la crisi,危機 ,კრიზისი ,위기 ,krizė ,krīze ,криза ,पेचप्रसंग ,de crisis,krise,ਸੰਕਟ ,kryzys,a crise,a crise,criza,кризис,kríza ,kriza,Kriza,криза,kris,நெருக்கடி,సంక్షోభము ,วิกฤต,kriz,криза,‫بحران‬ ,cuộc khủng hoảng ,危机
7,сыдрэри зэригъэшIэным кIэхъопсын,nuuskierigheid,‫الفضول‬,цікаўнасць ,любопитство,অনুসন্ধিত্সা ,radoznalost,la curiositat,zvědavost,nysgerrigheden,die Neugier,η περιέργεια ,curiosity,curiosity,la curiosidad,uudishimu,‫کنجکاوی‬,uteliaisuus,la curiosité,סקרנות ,जिज्ञासा ,znatiželja,kíváncsiság,rasa ingin tahu,la curiosità,好奇心 ,ცნობისმოყვარეობა ,호기심 ,smalsumas,ziņkārību ,љубопитност ,कुतूहल ,de nieuwsgierigheid,nysgjerrighet,ਜਿਗਿਆਸਾ ,ciekawość,a curiosidade,a curiosidade,curiozitate,любопытство,zvedavosť ,radovednost,Kureshtja,радозналост,nyfikenhet,ஆர்வம்,తెలుసుకోవాలనే ఆసక్తి ,อยากรู้อยากเห็น,merak,цікавість,‫جستجو / تجسس‬ ,tính hiếu kỳ (tò mò) ,好奇心
8,къытекIоныр,nederlaag,‫الهزيمة‬,паражэнне ,поражение,পরাজয় ,poraz,la derrota,porážka,nederlaget,die Niederlage,η ήττα ,defeat,defeat,la derrota,lüüasaamine ,‫شکست‬,tappio,la défaite,תבוסה ,हार ,poraz,vereség,kekalahan,la sconfitta,敗北 ,დამარცხება ,패배 ,pralaimėjimas ,sakāve ,пораз ,पराभव ,de nederlaag,nederlag,ਹਾਰ ,porażka,a derrota,a derrota,înfrângere,поражение,porážka ,poraz,Humbja,пораз,nederlag,தோல்வி,ఓటమి ,ความพ่ายแพ้,yenilgi,поразка,‫شکست‬ ,sự thất bại ,失败
9,депрессие,depressie,‫الإكتئاب‬,дэпрэсія ,депресия,বিষণ্নতা ,depresija,la depressió ,deprese,depressionen,die Depression,η κατάθλιψη ,depression,depression,la depresión,depressioon,‫افسردگی‬,masennus,la dépression,דיכאון ,अवसाद ,depresija,depresszió,depresi,la depressione,意気消沈 ,დეპრესია ,우울증 ,depresija,depresija,депресија ,नैराश्य ,de depressie,depresjon,ਨਿਰਾਸ਼ਾ ,depresja,a depressão,a depressão ,depresie,депрессия,depresia,depresija,Depresioni,депресија,depression,மன அழுத்தம்,అణచి వేయబడిన స్థితి ,ภาวะซึมเศร้า,depresyon,депресія,‫اداسی‬ ,trầm cảm (suy thoái) ,抑郁
10,гукIодыгъо,wanhoop,‫اليأس‬,адчай ,отчаяние,হতাশা ,očajanje,la desesperació ,zoufalství,fortvivlelsen,die Verzweiflung,η απόγνωση ,despair,despair,la desesperación,meeleheide,‫ناامیدی‬,epätoivo ,le désespoir,ייאוש ,निराशा ,očaj,kétségbeesés,keputusasaan,la disperazione,絶望 ,სასოწარკვეთა ,절망 ,neviltis,the izmisums,очај ,निराशा ,de wanhoop,fortvilelse,ਨਿਰਾਸ਼ਾ ,rozpacz,o desespero,o desespero,disperare,отчаяние,beznádejnosť ,obup,Dëshpërimi ,очај,förtvivlan,நம்பிக்கையின்மை,పూర్తి నిరాశ ,ความสิ้นหวัง,umutsuzluk,відчай,‫مایوسی‬ ,nỗi tuyệt vọng ,绝望
